"created_at","screen_name","text","source","retweet_count","favorite_count"
2019-07-28 11:28:43,"realDonaldTrump","Someone please explain to Nancy Pelosi, who was recently called racist by those in her own party, that there is nothing wrong with bringing out the very obvious fact that Congressman Elijah Cummings has done a very poor job for his district and the City of Baltimore. Just take...","Twitter for iPhone",31454,148510
2019-07-28 10:56:02,"realDonaldTrump","“If it weren’t for Donald Trump, we would never know how corrupt these Democrats are, we would never know for sure that there was a Deep State. Now we know it.” @JudgeJeanine","Twitter for iPhone",29139,112402
2019-07-28 04:17:44,"realDonaldTrump","https://t.co/9jgdUE5BF8","Twitter for iPhone",16608,68317
2019-07-28 04:02:25,"realDonaldTrump","The Democrats are still doing the Russians dirty work as they continue to push the fake crime. Media credibility is now shot, Democrat credibility is shot, they’ve wasted over 100 hearings on a Hoax, they’ve done nothing on Infrastructure, drug prices, trade....@JesseBWatters","Twitter for iPhone",16990,66141
2019-07-28 03:49:34,"realDonaldTrump","The real Collusion, the Conspiracy, the Crime, was between the Clinton Campaign, the DNC, Fusion GPS, Christopher Steele.....(and many others including Comey, McCabe, Lisa Page and her lover, Ohr and his wonderful wife, and on and on!). @replouiegohmert","Twitter for iPhone",20850,76021
2019-07-28 03:35:47,"realDonaldTrump","So sad that Elijah Cummings has been able to do so little for the people of Baltimore. Statistically, Baltimore ranks last in almost every major category. Cummings has done nothing but milk Baltimore dry, but the public is getting wise to the bad job that he is doing!","Twitter for iPhone",25969,107496
2019-07-28 03:28:38,"realDonaldTrump","....Robert Mueller’s testimony, and the Mueller Report itself, was a disaster for this illegal Democrat inspired Witch Hunt. It is an embarrassment to the USA that they don’t know how to stop. They can’t help themselves, they are totally lost, they are Clowns!","Twitter for iPhone",16859,84011
2019-07-28 03:28:38,"realDonaldTrump","“One of the biggest things to come out of Mueller’s testimony was the fact that when he was asked, was there ANYTHING that impeded your investigation, the answer was a clear, unequivocal, NO.” Misty Marris  @FoxNews  True, but many other great “exonerating” things came out.....","Twitter for iPhone",17074,84055
2019-07-28 03:14:42,"realDonaldTrump","Thank you @MarkLevinShow! https://t.co/G3f6QBNSMa","Twitter for iPhone",14696,48238
2019-07-28 03:14:13,"realDonaldTrump","https://t.co/9fnYIzjKQX","Twitter for iPhone",11886,39993
2019-07-28 02:43:06,"realDonaldTrump","Thank you @GOPLeader! https://t.co/v7sQt7DDWK","Twitter for iPhone",11135,42129
2019-07-28 02:13:18,"realDonaldTrump","Thanks @JudgeJeanine! https://t.co/chj7JPbWo1","Twitter for iPhone",13985,50102
2019-07-28 02:02:08,"realDonaldTrump",".@RepCummings — your district! https://t.co/JV4SF8ykCT","Twitter for iPhone",25986,77129
2019-07-28 01:54:03,"realDonaldTrump","More trash. More concerned residents. People live in the home with the silver van. This is @RepCummings district. This has nothing to do with race. Let us all pray the city removes the trash &amp; install cameras to catch the individuals dumping on the property. #WestBaltimore https://t.co/CCaRH5c0aO","Twitter for iPhone",20936,0
2019-07-28 01:50:31,"realDonaldTrump",".@RepCummings, why don’t you focus on your district!? https://t.co/F3Ej0Z21PZ","Twitter for iPhone",26280,88291
2019-07-27 22:15:36,"realDonaldTrump","NO COLLUSION, NO OBSTRUCTION, TOTAL EXONERATION. DEMOCRAT WITCH HUNT!","Twitter for iPhone",23508,123193
